Name,Team,Ret TD,Rec 40 yd TD,Fumbles Lost,Rush TD,Pass Int,Rush Yards,Pass Yds,Pick Six,Pass 40 yd TD,Rush 40 yd TD,Rec TD,Rec Yards,Pass TD,2PT
Pierre Garcon,WAS,0.0,1,0.7,0.0,0.0,0.0,0.0,0,0,0,5.966,994.752,0.0,0.2
Mike Williams,TB,0.0,1.3,0.9,0.0,0.0,0.0,0.0,0,0,0,6.02752,906.24,0.0,0.2
Danny Amendola,NE,0.0,0.5,1.4,0.0,0.0,20.174,0.0,0,0,0,6.5296,1145.144,0.0,0.1
Eric Decker,DEN,0.0,1.2,0.6,0.0,0.0,0.0,0.0,0,0,0,6.7792,921.12,0.0,0.2
James Jones,GB,0.0,0.8,0.6,0.0,0.0,0.0,0.0,0,0,0,7.5328,826.88,0.0,0.2
Steve Smith,CAR,0.0,1.5,1.1,0.0,0.0,19.404,0.0,0,0,0,5.143754,1058.4112,0.0,0.2
Hakeem Nicks,NYG,0.0,1.4,0.7,0.0,0.0,0.0,0.0,0,0,0,6.513,1020.6,0.0,0.2
Wes Welker,DEN,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0,0,0,6.34212,957.48,0.0,0.1
DeSean Jackson,PHI,0.462,1.9,0.9,0.0,0.0,20.944,0.0,0,0,0,5.26064,827.904,0.0,0.1
Golden Tate,SEA,0.6,1,0.6,0.0,0.0,21.75,0.0,0,0,0,5.808,828.0,0.0,0.1
Chris Givens,STL,0.0,1.4,0.5,0.0,0.0,0.0,0.0,0,0,0,6.4368,1036.8,0.0,0.1
Reggie Wayne,IND,0.0,1.1,0.4,0.0,0.0,0.0,0.0,0,0,0,5.95776,1044.0,0.0,0.1
